% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=691310, Tue Feb 25 21:17:51 2020
1 10 -0.061066457513037575 -0.0005801837078476071 0.0013821291295160105 0.10746544250942679 1 1 1 1 1 1 1 1 1 1
2 20 -0.10057267843998138 -0.00158815586771216 0.0006004054482987196 0.1326877755387934 1 1 1 1 1 1 1 1 1 1
3 30 -0.09181386995902935 -0.0032589269921260147 0.0024548777056408776 0.15750957464031487 1 1 1 1 1 1 1 1 1 1
4 40 -0.09842204030672445 -0.0011033912401830622 9.137377244481798e-05 0.1860408417351291 1 1 1 1 1 1 1 1 1 1
5 50 -0.15130768079920945 -0.009225527380317497 0.00012133381849671924 0.1776078023601857 1 1 1 1 1 1 1 1 1 1
6 60 -0.16416184298220377 -0.001458252009715344 0.011438522531666362 0.17042896977815825 1 1 1 1 1 1 1 1 1 1
7 70 -0.2033671012434763 -0.00519490787111203 0.027746098070617852 0.2156872891020166 1 1 1 1 1 1 1 1 1 1
8 80 -0.1855836889144109 -0.0052360773084959514 0.0003531071018176645 0.20393839883984333 1 1 1 1 1 1 1 1 1 1
9 90 -0.2061078706573137 -0.0006091478543609246 0.005571962857252909 0.20108365772263193 1 1 1 1 1 1 1 1 1 1
10 100 -0.20858975644226285 -0.007373551426778658 0.0019480734708426815 0.20786176581106994 1 1 1 1 1 1 1 1 1 1
11 110 -0.23187520454716878 -0.011449695219804637 0.004774367812858894 0.23313427354852617 1 1 1 1 1 1 1 1 1 1
12 120 -0.27470671134984703 -0.025886159167541403 0.00496101900617538 0.21215862888949513 1 1 1 1 1 1 1 1 1 1
13 130 -0.2971101002843201 -0.017970372156216097 0.0033664505007671044 0.23069816130629972 1 1 1 1 1 1 1 1 1 1
14 140 -0.3113606570292255 -0.00495050859424097 0.00369605855612227 0.21673870384149965 1 1 1 1 1 1 1 1 1 1
15 150 -0.3544609188087538 -0.0006285014148379363 0.008121243364491243 0.24802419683871268 1 1 1 1 1 1 1 1 1 1
16 160 -0.39717139209981067 -0.0002378206566781618 0.005700594726010517 0.2719647238336208 1 1 1 1 1 1 1 1 1 1
17 170 -0.4011371016529221 -0.0067660765907862925 0.011955483816676908 0.2677591870534288 1 1 1 1 1 1 1 1 1 1
